Car_ID,Brand,Model_Name,Category,Engine_CC,Max_Power_bhp,Max_Torque_Nm,Top_Speed_kmph,Mileage_kmpl,Seats,Price_INR_Lakh,Country_Origin,Fuel_Type,Transmission,Launch_Year,ABS,Popular_in_India,Description
C0001,Jaguar,X 700,Hatchback,1000,72.8,97.0,178,15.3,4,20.23,Germany,Petrol,Automatic,2019,No,No,Compact city-friendly hatchback
C0002,MG,Neo 500,Convertible,2000,132.9,205.8,213,10.7,7,51.74,India,Petrol,Automatic,2013,Yes,Yes,Convertible for open-air drive
C0003,Mahindra,Z 700,Electric,0,256.7,448.8,199,,4,54.0,India,Electric,CVT,2007,Yes,Yes,Electric car with zero emissions
C0004,Mercedes,S 550,Electric,0,357.3,314.0,178,,5,201.83,Germany,Electric,Manual,2016,Yes,No,Electric car with zero emissions
C0005,MG,Turbo 300,SUV,2200,256.9,398.1,241,12.8,4,56.45,India,Petrol,Manual,2006,No,Yes,Spacious SUV for all terrains
C0006,Tata,Turbo 550,Sedan,1600,100.6,140.0,196,19.3,4,27.03,India,Hybrid,Manual,2022,No,Yes,Comfortable family sedan
C0007,Ford,Neo 500,Sedan,1500,115.5,123.6,143,18.9,7,36.25,Japan,Hybrid,Automatic,2007,No,Yes,Comfortable family sedan
C0008,BMW,X 650,Electric,0,83.7,416.2,188,,2,91.39,Sweden,Electric,Automatic,2014,No,Yes,Electric car with zero emissions
C0009,BMW,GT 500,Electric,0,242.5,231.9,200,,7,104.8,Sweden,Electric,CVT,2011,Yes,Yes,Electric car with zero emissions
C0010,Porsche,S 700,Electric,0,236.4,233.6,166,,7,67.46,Sweden,Electric,Manual,2007,Yes,No,Electric car with zero emissions
C0011,Jaguar,E 450,MUV,3000,342.0,249.7,207,14.1,4,131.2,Germany,Petrol,CVT,2014,No,No,Multi-purpose vehicle for family
C0012,Porsche,Z 300,SUV,1500,106.9,143.5,189,16.7,2,24.97,Sweden,Petrol,Manual,2006,No,Yes,Spacious SUV for all terrains
C0013,Volkswagen,X 600,Sedan,2000,154.6,174.6,170,16.5,6,31.79,USA,Petrol,Automatic,2018,No,No,Comfortable family sedan
C0014,Mahindra,X 600,Hatchback,1000,77.5,95.7,168,16.4,2,10.23,India,Diesel,Manual,2019,Yes,Yes,Compact city-friendly hatchback
C0015,Jaguar,Neo 200,MUV,2000,130.0,189.1,167,16.9,5,27.98,Germany,Hybrid,Automatic,2019,No,No,Multi-purpose vehicle for family
C0016,Honda (India),GT 150,Sedan,2000,164.1,163.7,160,10.5,4,35.05,India,Hybrid,CVT,2006,Yes,Yes,Comfortable family sedan
C0017,Tata,Alpha 250,Convertible,1400,137.1,142.8,274,16.8,7,112.72,India,Petrol,CVT,2023,No,Yes,Convertible for open-air drive
C0018,Audi,GT 350,Sedan,1600,112.9,157.2,199,12.6,2,53.74,Germany,Petrol,Manual,2022,Yes,No,Comfortable family sedan
C0019,Tata,S 200,Electric,0,130.5,450.1,158,,7,86.0,India,Electric,CVT,2005,No,Yes,Electric car with zero emissions
C0020,BMW,Turbo 300,Hatchback,1500,97.8,131.3,153,17.7,6,25.61,Sweden,Petrol,CVT,2013,Yes,Yes,Compact city-friendly hatchback
C0021,Hyundai,E 550,Hatchback,1300,98.1,137.7,185,15.4,4,8.76,India,Diesel,CVT,2022,Yes,Yes,Compact city-friendly hatchback
C0022,Jaguar,GT 250,Hatchback,1300,108.2,157.3,195,12.3,5,14.95,Germany,Petrol,Manual,2022,No,No,Compact city-friendly hatchback
C0023,MG,S 400,Electric,0,362.1,207.4,162,,4,60.0,India,Electric,CVT,2013,Yes,Yes,Electric car with zero emissions
C0024,Hyundai,E 300,Electric,0,341.3,338.1,159,,2,37.0,India,Electric,Manual,2011,No,Yes,Electric car with zero emissions
C0025,Tata,Alpha 100,Electric,0,285.3,319.9,188,,2,50.0,India,Electric,Manual,2013,Yes,Yes,Electric car with zero emissions
C0026,Mahindra,E 400,SUV,2000,146.2,219.1,174,13.1,6,44.08,India,Petrol,CVT,2005,Yes,Yes,Spacious SUV for all terrains
C0027,Tata,Z 400,Electric,3717,462.0,444.0,196,9.0,5,112.58,India,Diesel,Automatic,2022,Yes,Yes,Electric car with zero emissions
C0028,Ford,Neo 700,Convertible,3000,260.9,370.1,238,10.0,6,207.57,Japan,Hybrid,Automatic,2019,No,No,Convertible for open-air drive
